Input Size,full_attn,sparse_attn,no_compress_mlp,no_coarse_q_attn,no_coarse_q_attn_no_coarse_q_importance,ball_attn,no_group_sel,no_group_sel_no_rot,no_rot
3586,0.059894534992019244,0.08811119477197048,0.0918806892054091,0.1654819862727601,0.03869387352256149,0.053027163558091596,0.12652898258881906,0.20674767534196098,0.08563976393813302
256,0.06975535466163799,0.07425376377226511,0.0969578640927218,0.11667689948428586,0.11089104223199299,0.05732591527547607,0.09694844109576886,0.09058598014224212,0.08247880923131234
512,0.04714326968499132,0.07049166488625318,0.07063910220306795,0.09118088069097995,0.10112355147119234,0.05741044565081672,0.10565610835926616,0.09961688814025502,0.11910527636145044
1024,0.08918678267819584,0.06812889516213357,0.08930587926427229,0.09361253128920406,0.08220451477393725,0.05159672230047224,0.11479998885511984,0.1048115981640006,0.14708578282867743
2048,0.047636072292588726,0.08575695011123963,0.0719678760501551,0.08657969945918005,0.09809401276469161,0.05730448218131262,0.07891388710266929,0.07010982812266237,0.08265553068799969
4096,0.050481361954516794,0.06112642767225354,0.07736220307883464,0.08960382879518743,0.041157959216423616,0.05378497394010637,0.05232411448487489,0.032878905177476644,0.10477665406051928
8192,0.36792772571384375,0.05148629109426085,0.06737211652490162,0.047235283853080866,0.04442657682822726,0.07627809642661317,0.0445535136929334,0.04629519361094065,0.03630207487410847
16384,0.11618740717491066,0.06401041840521501,0.06123062868316995,0.07825657371437165,0.14869729164623752,0.04583247995819619,0.066780097594294,0.06598761020818934,0.030525643565370266
32768,0.2178254171834834,0.09949330360674347,0.08843297411917854,0.4579224017069533,0.155199196624303,0.1018630370251832,0.9603588530188288,0.2962443563766507,0.06357643409226056
65536,0.781654995368198,0.24158101696812595,0.19333114759381864,0.7296827395769381,,0.2227912884159914,,,0.12303170105151648
